,0
0,-474.4970666666667
1,-541.5196666666667
2,-600.9536
3,-643.6908666666667
4,-669.7623333333333
5,-696.7813333333334
6,-721.4722666666667
7,-732.7176
8,-745.8071333333334
9,-759.6997333333334
10,-768.7178
11,-774.3390666666667
12,-781.436
13,-787.1843333333334
14,-796.3621333333333
15,-800.6048666666667
16,-805.1648666666666
17,-806.6188666666667
18,-814.0446
19,-815.8606666666667
20,-815.6330666666667
21,-820.473
22,-821.1524
23,-826.4040666666667
24,-827.7406666666667
25,-833.235
26,-833.1438666666667
27,-836.3808666666666
28,-835.446
29,-837.4818666666666
30,-842.6082666666666
31,-847.0424666666667
32,-846.9257333333334
33,-848.4288
34,-850.9393333333334
35,-850.6577333333333
36,-850.103
37,-853.8850666666667
38,-850.4926666666667
39,-854.9998666666667
40,-856.6318666666666
41,-857.2486666666666
42,-860.1684
43,-858.4286666666667
44,-860.9814666666666
45,-866.109
46,-862.7193333333333
47,-864.8693333333333
48,-864.0749333333333
49,-869.5750666666667
50,-872.6999333333333
51,-866.4893333333333
52,-871.9834666666667
53,-872.6186
54,-874.5754666666667
55,-872.852
56,-871.1332
57,-870.8594666666667
58,-875.7375333333333
59,-875.6951333333334
60,-877.7286666666666
61,-880.1898666666667
62,-878.1172
63,-878.3894
64,-880.864
65,-881.2908
66,-880.1911333333334
67,-881.8266666666667
68,-882.7326
69,-882.7522666666666
70,-882.0946666666666
71,-885.0217333333334
72,-883.6364
73,-883.3948
74,-883.7331333333333
75,-888.7006666666666
76,-890.1479333333333
77,-889.1612
78,-886.8560666666667
79,-885.9582666666666
80,-890.7847333333333
81,-890.1336
82,-891.5094666666666
83,-893.0484
84,-890.3038666666666
85,-893.4991333333334
86,-890.7810666666667
87,-893.7458666666666
88,-893.0106666666667
89,-895.5161333333333
90,-894.6449333333334
91,-894.6850666666667
92,-900.5751333333334
93,-896.7258666666667
94,-896.6854666666667
95,-897.4578666666666
96,-898.5778666666666
97,-898.8178666666666
98,-897.8825333333333
99,-897.6325333333333
100,-900.5996
101,-899.2762
102,-901.0102666666667
103,-896.3674666666667
104,-897.7682666666667
105,-894.4432666666667
106,-900.6137333333334
107,-901.6930666666667
108,-900.9755333333334
109,-901.7449333333333
110,-901.615
111,-900.84
112,-902.8894666666666
113,-898.46
114,-903.3480666666667
115,-906.9757333333333
116,-905.2505333333334
117,-903.6016666666667
118,-908.2537333333333
119,-905.4528666666666
120,-906.7102666666667
121,-908.4125333333334
122,-906.7104
123,-907.1046666666666
124,-907.3194666666667
125,-907.7712
126,-909.2301333333334
127,-908.9336666666667
128,-906.8102
129,-907.1514
130,-908.6131333333333
131,-910.317
132,-910.6452
133,-909.4794666666667
134,-910.8084666666666
135,-912.6238666666667
136,-909.6806666666666
137,-911.8308666666667
138,-911.9987333333333
139,-911.3986
140,-910.6626
141,-908.3958666666666
142,-909.1213333333334
143,-914.1201333333333
144,-914.4123333333333
145,-916.7970666666666
146,-912.3615333333333
147,-918.1571333333334
148,-910.8135333333333
149,-915.2
150,-912.9442
151,-913.8438666666667
152,-915.3485333333333
153,-914.0677333333333
154,-913.4932
155,-913.6217333333333
156,-912.1328
157,-916.8298
158,-914.1046666666666
159,-919.7001333333334
160,-916.8514
161,-916.7288
162,-916.6202666666667
163,-919.8666666666667
164,-919.3446
165,-917.0153333333334
166,-921.3332666666666
167,-916.5134666666667
168,-919.4305333333333
169,-918.5564
170,-919.4025333333333
171,-919.1882666666667
172,-916.7561333333333
173,-919.039
174,-923.3972
175,-923.8016666666666
176,-922.8458666666667
177,-921.0059333333334
178,-923.2626666666666
179,-920.6417333333334
180,-918.9333333333333
181,-921.2874666666667
182,-921.5636
183,-924.2768666666667
184,-920.5690666666667
185,-924.4466666666667
186,-921.4092
187,-920.2342
188,-924.5597333333334
189,-922.3966666666666
190,-923.9262666666667
191,-923.9146666666667
192,-922.6404
193,-922.4605333333334
194,-921.4824
195,-921.6881333333333
196,-924.3548
197,-924.0662666666667
198,-924.7398
199,-925.8887333333333
200,-924.8383333333334
201,-923.9217333333333
202,-925.5422666666667
203,-924.8531333333333
204,-924.9710666666666
205,-923.3924
206,-924.8844
207,-924.7382666666666
208,-930.8246666666666
209,-929.5582666666667
210,-927.5844
211,-927.8368
212,-926.6450666666667
213,-928.0132
214,-926.4119333333333
215,-928.5734666666667
216,-931.1028
217,-926.9337333333333
218,-929.2792
219,-925.4564
220,-926.8645333333334
221,-929.1056
222,-927.5130666666666
223,-928.3548
224,-927.9814666666666
225,-926.6418666666667
226,-929.9459333333333
227,-929.2160666666666
228,-931.9917333333333
229,-929.3394666666667
230,-928.7763333333334
231,-930.8810666666667
232,-928.3228666666666
233,-929.7449333333333
234,-929.1690666666667
235,-927.8741333333334
236,-931.6452666666667
237,-931.4119333333333
238,-926.67
239,-931.3187333333333
240,-932.3312
241,-930.8395333333333
242,-932.7303333333333
243,-929.5574666666666
244,-929.8147333333334
245,-931.2808
246,-930.7706
247,-932.3722666666666
248,-930.2796
249,-929.4910666666667
250,-931.9788
251,-932.1904
252,-932.5602666666666
253,-932.618
254,-930.7741333333333
255,-933.5512
256,-934.9634
257,-933.5018666666666
258,-934.2292
259,-932.33
260,-934.4294666666667
261,-931.0672
262,-935.3113333333333
263,-930.3353333333333
264,-931.7268
265,-930.1021333333333
266,-935.4836
267,-933.5798666666667
268,-932.5526666666667
269,-933.9766666666667
270,-932.7119333333334
271,-933.2028
272,-935.3096
273,-934.3240666666667
274,-931.3491333333334
275,-933.2709333333333
276,-933.2310666666667
277,-934.4290666666667
278,-933.4209333333333
279,-932.2242
280,-936.3217333333333
281,-934.3625333333333
282,-936.3886666666667
283,-932.7624
284,-934.7218
285,-936.6309333333334
286,-933.7824666666667
287,-936.1592666666667
288,-936.6034
289,-935.3638666666667
290,-934.3822666666666
291,-936.2877333333333
292,-937.306
293,-936.2743333333333
294,-936.8762666666667
295,-935.9502666666667
296,-933.9836
297,-937.4394
298,-935.6402
299,-934.9921333333333
300,-936.5157333333333
301,-937.2847333333333
302,-935.9008
303,-936.9591333333333
304,-938.5762
305,-937.4466666666667
306,-939.4719333333334
307,-935.7504
308,-936.8452
309,-937.7773333333333
310,-934.6635333333334
311,-938.8784
312,-936.3420666666667
313,-935.7964
314,-938.5465333333333
315,-940.951
316,-936.8574
317,-937.3405333333334
318,-940.4356
319,-938.9612
320,-936.6050666666666
321,-937.7080666666667
322,-939.176
323,-938.6111333333333
324,-940.0952
325,-938.1422
326,-938.8536666666666
327,-938.9644
328,-938.8402666666667
329,-940.3209333333333
330,-937.3054666666667
331,-938.4303333333334
332,-940.1388
333,-937.6477333333333
334,-940.5332
335,-940.5738666666666
336,-937.8607333333333
337,-940.6246666666667
338,-942.4990666666666
339,-940.2334666666667
340,-941.1028
341,-942.0331333333334
342,-942.196
343,-938.3052
344,-938.9782666666666
345,-938.1655333333333
346,-939.9209333333333
347,-939.9489333333333
348,-942.6718666666667
349,-941.0922
350,-938.559
351,-940.0470666666666
352,-939.368
353,-940.4920666666667
354,-940.2456666666667
355,-941.9204
356,-941.9708
357,-941.6483333333333
358,-943.6407333333333
359,-941.2904666666667
360,-940.8838666666667
361,-941.8497333333333
362,-941.7921333333334
363,-941.4972
364,-940.1112
365,-941.8873333333333
366,-940.6868
367,-942.0098666666667
368,-944.4521333333333
369,-941.3174
370,-941.3518666666666
371,-940.7766666666666
372,-940.884
373,-941.0302666666666
374,-941.6714
375,-942.2110666666666
376,-943.2085333333333
377,-941.1676666666667
378,-941.331
379,-943.6623333333333
380,-941.5345333333333
381,-942.7990666666667
382,-943.4605333333334
383,-944.2429333333333
384,-942.245
385,-942.8164
386,-944.4066
387,-942.6536666666667
388,-941.6944
389,-941.0496
390,-945.5756
391,-943.6352666666667
392,-938.2168
393,-943.0088
394,-941.7032666666667
395,-940.4845333333334
396,-942.8249333333333
397,-944.3261333333334
398,-942.8137333333333
399,-944.544
400,-944.2008
401,-942.4390666666667
402,-947.7104
403,-940.6130666666667
404,-941.5932666666666
405,-943.7372
406,-940.7340666666666
407,-944.5984666666667
408,-942.7706666666667
409,-942.9150666666667
410,-946.7992
411,-946.9894666666667
412,-946.0831333333333
413,-945.0974666666667
414,-945.1956666666666
415,-946.0308
416,-944.5078
417,-947.7319333333334
418,-944.8484
419,-943.6741333333333
420,-944.2745333333334
421,-945.3221333333333
422,-943.5248
423,-943.5826
424,-946.2256666666667
425,-944.2232
426,-947.3250666666667
427,-946.3050666666667
428,-947.6473333333333
429,-944.4898666666667
430,-946.0350666666667
431,-946.2416666666667
432,-945.7246666666666
433,-946.8344
434,-946.6562
435,-945.5842
436,-947.4854666666666
437,-946.466
438,-944.5196666666667
439,-946.3832
440,-945.4480666666667
441,-945.5156666666667
442,-944.3520666666667
443,-947.6677333333333
444,-947.5273333333333
445,-946.4585333333333
446,-946.3940666666666
447,-947.3894666666666
448,-948.4664666666666
449,-947.3052666666666
450,-945.7524
451,-944.8734
452,-946.3649333333333
453,-944.5556
454,-946.0782666666667
455,-950.9006
456,-949.3124
457,-945.7498666666667
458,-948.134
459,-946.8981333333334
460,-948.3797333333333
461,-947.4997333333333
462,-948.3501333333334
463,-948.6337333333333
464,-946.0226666666666
465,-948.6049333333333
466,-947.6310666666667
467,-948.569
468,-947.2488666666667
469,-947.8656666666667
470,-948.4364
471,-945.4125333333334
472,-947.7434666666667
473,-948.9681333333333
474,-948.4874666666667
475,-948.8178666666666
476,-947.1844666666667
477,-948.7453333333333
478,-947.039
479,-947.2036666666667
480,-945.2754666666667
481,-948.5056666666667
482,-949.9221333333334
483,-947.7638666666667
484,-947.6424
485,-947.588
486,-949.0738666666666
487,-947.9067333333334
488,-947.21
489,-949.3696
490,-946.0786
491,-948.7658
492,-948.2664
493,-948.8429333333333
494,-948.1158
495,-949.2646666666667
496,-949.3264666666666
497,-946.6185333333333
498,-949.5712
499,-949.4390666666667
