epoch, energy, energy_diff, fidelity
1.5,  -1.0066304034616804,  -1.007944538254161
 100, -0.9515390090882518, 0.05509139437342858, 0.983651347758133
 200, -0.9843282391311512, 0.02230216433052923, 0.9937666636642544
 300, -0.9929160953349632, 0.013714308126717256, 0.9963411048669342
 400, -0.9861757212580404, 0.020454682203639996, 0.997122477887463
 500, -1.0061258859130253, 0.0005045175486551035, 0.9980645207483961
 600, -1.0030413672851974, 0.003589036176482985, 0.998450577193626
 700, -0.9934546920683871, 0.013175711393293321, 0.9986147117692211
 800, -1.0017445109117844, 0.00488589254989602, 0.998902920516656
 900, -1.0079367902217793, 0.0013063867600988655, 0.9990187256771291
1000, -1.007944538254161 0.001314134792480548, 0.9991436125766233
 
0.35,  -0.8005095231150423,  -0.7782287869564899
 100, -0.7662465292068931, 0.03426299390814924, 0.9955622317024454
 200, -0.7807227628528562, 0.019786760262186065, 0.9962445241879061
 300, -0.7751948120707726, 0.025314711044269744, 0.9964559099238773
 400, -0.779151790266931, 0.021357732848111266, 0.9965242886167397
 500, -0.7837475641515422, 0.01676195896350008, 0.996593947827206
 600, -0.7805065589941607, 0.02000296412088165, 0.9966435922179735
 700, -0.7947937243809856, 0.0057157987340566985, 0.9966535414020568
 800, -0.7819639783123117, 0.01854554480273063, 0.9967026118287489
 900, -0.7877880359651996, 0.01272148714984267, 0.9967758528334332
1000, -0.7782287869564899 0.022280736158552417, 0.9968553478353693
 
0.45,  -1.0090086249753596,  -0.998842492145526
 100, -0.9763151480445582, 0.03269347693080138, 0.9945023478696099
 200, -0.9883961612996439, 0.020612463675715675, 0.9949857859964661
 300, -0.9851731370392989, 0.023835487936060717, 0.995092967717806
 400, -0.9814060359740888, 0.027602589001270772, 0.9952593768380774
 500, -0.9821662539207667, 0.026842371054592862, 0.9954780534904754
 600, -0.9869952325495359, 0.022013392425823675, 0.9956981746741884
 700, -0.9863991984850867, 0.022609426490272866, 0.9959738809762302
 800, -0.9901723990599612, 0.018836225915398352, 0.9962130734215182
 900, -0.9807273300831878, 0.028281294892171793, 0.9964767069327061
1000, -0.998842492145526 0.010166132829833585, 0.9967708089675438
 
2.0,  -0.9576117229960116,  -0.953946892165502
 100, -0.9191345460350845, 0.03847717696092712, 0.9846474672035579
 200, -0.9485024673336582, 0.009109255662353433, 0.99434390858139
 300, -0.9488705791916601, 0.008741143804351537, 0.9966891629896908
 400, -0.9532531741089458, 0.004358548887065772, 0.9976604046196897
 500, -0.9536994027649457, 0.003912320231065913, 0.9982539171555631
 600, -0.9586444771110251, 0.0010327541150134678, 0.9984749476488046
 700, -0.9565369326419604, 0.001074790354051225, 0.9988250705003301
 800, -0.9563922046154163, 0.001219518380595308, 0.9989684004565518
 900, -0.9565838160128044, 0.0010279069832072052, 0.9988957093289563
1000, -0.953946892165502 0.0036648308305096133, 0.9992343283397653
 
0.2,  0.1442108747311382,  0.16074637173761178
 100, 0.16324640217177847, 0.01903552744064027, 0.9971611168343413
 200, 0.15364006514006867, 0.009429190408930477, 0.9978438635315228
 300, 0.15118268602537902, 0.006971811294240821, 0.9980288611235488
 400, 0.15670032939127598, 0.012489454660137789, 0.9980997223396937
 500, 0.15669264150138212, 0.01248176677024393, 0.9981189361113982
 600, 0.15492262010181962, 0.010711745370681425, 0.998148176251483
 700, 0.15952839799913746, 0.015317523267999261, 0.9981280955430355
 800, 0.16429961790638212, 0.020088743175243923, 0.9981447067498281
 900, 0.14989096264859117, 0.005680087917452975, 0.9981583005046061
1000, 0.16074637173761178 0.016535497006473582, 0.9981693826112914
 
1.25,  -1.0534371372280913,  -1.0499706267636737
 100, -1.0008286562569093, 0.05260848097118198, 0.9829745451848125
 200, -1.0386899642536893, 0.014747172974401979, 0.9937477161800208
 300, -1.0462268600503986, 0.007210277177692737, 0.9964482060583466
 400, -1.0359930933779253, 0.017444043850165958, 0.997568382565738
 500, -1.0492238837177825, 0.004213253510308768, 0.9981790791409022
 600, -1.0527100479771367, 0.000727089250954549, 0.9985664663067515
 700, -1.0540750754580597, 0.0006379382299683822, 0.9988033923655272
 800, -1.048116244131099, 0.005320893096992352, 0.998995570636633
 900, -1.0639709274515838, 0.010533790223492545, 0.9990743627308497
1000, -1.0499706267636737 0.0034665104644175937, 0.9992346522376079

1.55,  -0.999024596529867,  -0.9950159911830004
 100, -0.9456265239815316, 0.053398072548335396, 0.9817119090859485
 200, -0.9837707616522033, 0.01525383487766363, 0.9936233118901252
 300, -0.9981396050543249, 0.0008849914755421073, 0.9962679860382204
 400, -0.9944324641917318, 0.0045921323381351575, 0.997482315931357
 500, -0.9880413494982255, 0.010983247031641441, 0.9981277427148073
 600, -0.9979589856485813, 0.0010656108812856502, 0.9984859248251585
 700, -0.9910469271232513, 0.007977669406615706, 0.9987028947972388
 800, -1.0029866389453697, 0.003962042415502687, 0.998851906352531
 900, -0.9975960985175892, 0.0014284980122777347, 0.9990725774939139
1000, -0.9950159911830004 0.004008605346866534, 0.9991811956478763

0.55,  -1.1022968998091114, -1.0951858377265375
 100, -1.0714767421464486, 0.030820157662662773, 0.9931880425815514
 200, -1.0840564810196298, 0.01824041878948157, 0.9937023582773052
 300, -1.0788872528675642, 0.023409646941547235, 0.9942061583373496
 400, -1.0817378802540583, 0.020559019555053126, 0.9947013800721496
 500, -1.0834190062628448, 0.018877893546266566, 0.9953179400882078
 600, -1.081453390485499, 0.02084350932361234, 0.9958982748914447
 700, -1.0839138282777183, 0.01838307153139307, 0.996565875517029
 800, -1.0910095052055597, 0.01128739460355166, 0.9970848260987449
 900, -1.091589709663057, 0.01070719014605448, 0.997546929377288
1000, -1.0951858377265375 0.007111062082573838, 0.9979199237065689

0.7,  -1.1449518561275118,  -1.1254321335019668
 100, -1.114358238576709, 0.03059361755080281, 0.9877471198182226
 200, -1.105833446693647, 0.0391184094338648, 0.9881507600555469
 300, -1.1002039351358925, 0.04474792099161928, 0.9888799713143356
 400, -1.1132208095315526, 0.03173104659595927, 0.9892571581999698
 500, -1.107109468843314, 0.037842387284197754, 0.9901658329702033
 600, -1.1043618919391174, 0.040589964188394445, 0.9912949118179927
 700, -1.1193499734977774, 0.025601882629734396, 0.9925961646613866
 800, -1.1273049903744354, 0.01764686575307639, 0.99377348429757
 900, -1.1273565465402813, 0.017595309587230545, 0.9950297430319177
1000, -1.1254321335019668 0.019519722625545022, 0.9960690379522695

0.25,  -0.3239354753254609,  -0.30733932750842674
 100, -0.30660539105040224, 0.017330084275058666, 0.9966774867275678
 200, -0.3073838627030198, 0.016551612622441092, 0.9974166115450849
 300, -0.3120192823617501, 0.011916192963710825, 0.9976079566295643
 400, -0.3124987818775369, 0.011436693447924029, 0.9976990879646962
 500, -0.3144806078656825, 0.009454867459778415, 0.9977390788795566
 600, -0.3145120042450255, 0.009423471080435397, 0.9977601025736442
 700, -0.3089264954213044, 0.015008979904156505, 0.99779838594868
 800, -0.31334933494439754, 0.01058614038106337, 0.9978296428259038
 900, -0.3065693838449429, 0.017366091480517987, 0.9978262946954223
1000, -0.30733932750842674 0.016596147817034168, 0.9978673572083882

1.9,  -0.9632910274850663,  -0.9609242218565771
 100, -0.9269805774392488, 0.036310450045817566, 0.9863150657047679
 200, -0.9493313083601146, 0.013959719124951753, 0.9945695990832435
 300, -0.958199636990866, 0.005091390494200376, 0.9967438248733755
 400, -0.9592575777806461, 0.004033449704420211, 0.9977387433764249
 500, -0.9591644101039248, 0.004126617381141506, 0.9982954182971475
 600, -0.9614428852232851, 0.0018481422617812049, 0.9986200023870764
 700, -0.9601071521760476, 0.0031838753090187577, 0.9988562735090127
 800, -0.9676251669975249, 0.004334139512458535, 0.9987532024297613
 900, -0.9605580473064277, 0.0027329801786386554, 0.9991443401819173
1000, -0.9609242218565771 0.0023668056284892325, 0.9992276474596491

2.85,  -0.9429293235489895,  -0.9413606688500802
 100, -0.9191422461072316, 0.023787077441757898, 0.988376698833893
 200, -0.9322878140059558, 0.010641509543033667, 0.995266832177446
 300, -0.9347302973464617, 0.00819902620252777, 0.9970858039881283
 400, -0.9413965364891768, 0.0015327870598127458, 0.9979073931459163
 500, -0.9389125352486982, 0.004016788300291285, 0.9984250742969165
 600, -0.9403767637286868, 0.002552559820302669, 0.9985218484003173
 700, -0.9404608226424078, 0.002468500906581683, 0.99891210158051
 800, -0.9432112499052021, 0.00028192635621260287, 0.9990763453856456
 900, -0.9443836811490129, 0.001454357600023437, 0.9989458525899272
1000, -0.9413606688500802 0.001568654698909322, 0.9992678299376698

1.45,  -1.0148219637906388, -1.0173662682001385
 100, -0.9543561814879911, 0.060465782302647764, 0.9809934755257737
 200, -0.997195496842447, 0.01762646694819181, 0.9928846773314886
 300, -1.0005736361799145, 0.014248327610724365, 0.9958648155184713
 400, -1.0089882866777415, 0.005833677112897284, 0.9971323734257154
 500, -1.0091591969765923, 0.005662766814046538, 0.9978264028575659
 600, -1.0145017782732078, 0.0003201855174310708, 0.9982767125761302
 700, -1.0137378206188736, 0.001084143171765195, 0.9985692363283788
 800, -1.01929737067017, 0.004475406879531185, 0.9987554559855009
 900, -1.0156675640101676, 0.0008456002195287304, 0.9989288333810191
1000, -1.0173662682001385 0.002544304409499709, 0.999053342109062

1.35,  -1.0329255626795484,  -1.0374754195218594
 100, -0.969603994433571, 0.06332156824597734, 0.9750886050548235
 200, -1.000965278973248, 0.03196028370630044, 0.9915256053662775
 300, -1.0195187488870783, 0.013406813792470107, 0.9953772315019874
 400, -1.0232456127052125, 0.009679949974335855, 0.9969200184137403
 500, -1.0277765574903004, 0.0051490051892479904, 0.9977195090605798
 600, -1.0386314147054816, 0.005705852025933211, 0.9981535483412552
 700, -1.0276686333403333, 0.005256929339215066, 0.998538257995962
 800, -1.0323952837866002, 0.0005302788929482105, 0.9987580911390603
 900, -1.0329679966736434, 4.2433994094981387e-05, 0.9989058151419902
1000, -1.0374754195218594 0.0045498568423110175, 0.9990280270280867

2.5,  -0.9448669090603318,  -0.9450560101029404
 100, -0.9206359600703076, 0.024230948990024204, 0.9866735193423481
 200, -0.9353475323959406, 0.009519376664391177, 0.9947349663645849
 300, -0.940545003741267, 0.004321905319064734, 0.9969216445385318
 400, -0.9400416904178469, 0.004825218642484863, 0.9978306422844516
 500, -0.9423260842773735, 0.002540824782958251, 0.998267171286672
 600, -0.9415087137423426, 0.003358195317989199, 0.9986276651705202
 700, -0.9430030652306575, 0.0018638438296743054, 0.9988589258235601
 800, -0.9441112778820524, 0.0007556311782793701, 0.9990308980097318
 900, -0.9437801364044979, 0.0010867726558339008, 0.9991047038546759
1000, -0.9450560101029404 0.00018910104260860816, 0.9990130873253961

1.0,  -1.1088894817596542,  -1.1124796550781642
 100, -1.0134991686065764, 0.09539031315307778, 0.9714355929854305
 200, -1.0538832211413962, 0.055006260618257974, 0.9819899606341657
 300, -1.0687235562031498, 0.040165925556504334, 0.9904707776774891
 400, -1.0874507632374888, 0.02143871852216539, 0.9943313674263653
 500, -1.1020939042036717, 0.006795577555982479, 0.996170870082673
 600, -1.1050215961225005, 0.0038678856371536785, 0.9971658067559825
 700, -1.114223638571365, 0.0053341568117108995, 0.9977712196641024
 800, -1.1111163952300982, 0.002226913470444014, 0.9981863966320071
 900, -1.1195687184274004, 0.010679236667746173, 0.9984598638811084
1000, -1.1124796550781642 0.0035901733185099705, 0.9986861834355741

1.3,  -1.0429909176307628, -1.0465437352864657
 100, -0.9548456694782194, 0.08814524815254343, 0.9645622396922483
 200, -1.0096975667250352, 0.0332933509057276, 0.9888613981924373
 300, -1.0152539687708069, 0.027736948859955923, 0.9942332066021509
 400, -1.0231059679169847, 0.019884949713778077, 0.9962791913524778
 500, -1.0393700378468222, 0.003620879783940545, 0.9973024199521047
 600, -1.039302186642705, 0.0036887309880577757, 0.9979140324873285
 700, -1.0386551458512052, 0.004335771779557573, 0.9983088930089301
 800, -1.039940193778548, 0.0030507238522148317, 0.9985778008127879
 900, -1.040966596664528, 0.0020243209662347272, 0.9987799606180665
1000, -1.0465437352864657 0.0035528176557029223, 0.9989062193556222

2.6,  -0.9441460761802778,  -0.9423167609175093
 100, -0.9203206036777506, 0.0238254725025272, 0.9855551847741642
 200, -0.9333085761016083, 0.01083750007866946, 0.9946261126656064
 300, -0.9383823238185831, 0.005763752361694685, 0.9967855489620836
 400, -0.9405393107965034, 0.0036067653837743574, 0.9978640207691682
 500, -0.9427958909863421, 0.0013501851939357046, 0.9982607542154986
 600, -0.9397552971960401, 0.004390778984237675, 0.9986514923791172
 700, -0.9435716847966326, 0.0005743913836452341, 0.9988259208683501
 800, -0.9433712347795364, 0.0007748414007413551, 0.9989057436852468
 900, -0.9432116069204387, 0.000934469259839088, 0.9991077854600434
1000, -0.9423167609175093 0.0018293152627685272, 0.9992785489710807

1.95,  -0.9603380642016857,  -0.9594963814903552
 100, -0.909383330667765, 0.05095473353392066, 0.9793908186083796
 200, -0.9439303355771765, 0.01640772862450912, 0.9922485806254414
 300, -0.9454008658277554, 0.01493719837393026, 0.9953166021567309
 400, -0.9509188709902889, 0.009419193211396726, 0.9969391640829129
 500, -0.953499146847297, 0.006838917354388685, 0.9976765967794662
 600, -0.9526962582872173, 0.007641805914468391, 0.9980756789754832
 700, -0.9555067673715048, 0.004831296830180909, 0.9984305276409517
 800, -0.9599189849052315, 0.0004190792964541279, 0.9986968141446626
 900, -0.9573296500510724, 0.003008414150613259, 0.9988408176132679
1000, -0.9594963814903552 0.0008416827113304493, 0.9989827648600478

2.25,  -0.9490056352051295,  -0.9469107629064508
 100, -0.9178751817683842, 0.031130453436745253, 0.983934935027239
 200, -0.9309987253572042, 0.0180069098479253, 0.9937893557717883
 300, -0.9423424875681957, 0.006663147636933764, 0.9963498899783636
 400, -0.9395345491131419, 0.009471086091987546, 0.9973193261799398
 500, -0.9465562798414071, 0.002449355363722372, 0.9980324920386188
 600, -0.9414464270483567, 0.007559208156772801, 0.9983974341077761
 700, -0.9462299049643779, 0.002775730240751617, 0.998609048048198
 800, -0.9443167548719054, 0.004688880333224121, 0.9987860120423248
 900, -0.9429372251312509, 0.006068410073878594, 0.9987090798965677
1000, -0.9469107629064508 0.0020948722986786628, 0.9991250398213557

2.55,  -0.944544970980179,  -0.9413808352872168
 100, -0.9167518550690008, 0.027793115911178168, 0.9832238290382154
 200, -0.9315179399055808, 0.013027031074598128, 0.993718916056098
 300, -0.9362805578097743, 0.008264413170404716, 0.9963452328344774
 400, -0.9369175233622091, 0.007627447617969851, 0.9974807137216422
 500, -0.9394428262921007, 0.005102144688078236, 0.9979088791096834
 600, -0.940492912936545, 0.004052058043633955, 0.9984716198494299
 700, -0.9410063810059568, 0.003538589974222184, 0.9984933879546357
 800, -0.9436092295258259, 0.0009357414543530451, 0.9988969166453991
 900, -0.9411973022667951, 0.003347668713383878, 0.9988798736388056
1000, -0.9413808352872168 0.0031641356929621445, 0.9989912268477477

0.85,  -1.1366197707399515,  -1.1429718138645333
 100, -1.0796090294389162, 0.05701074130103523, 0.981512957574438
 200, -1.092416108600621, 0.04420366213933047, 0.9855996542196406
 300, -1.0943758015666565, 0.04224396917329498, 0.990518181150955
 400, -1.1166862208196138, 0.01993354992033769, 0.9939537719163395
 500, -1.1211747282327653, 0.015445042507186146, 0.9958885929816842
 600, -1.1304687847039538, 0.006150986035997619, 0.9970135074973197
 700, -1.137535951168758, 0.000916180428806479, 0.997673513221996
 800, -1.1448060298666767, 0.008186259126725215, 0.9981370708136118
 900, -1.1367685432318928, 0.00014877249194134023, 0.9984507183642338
1000, -1.1429718138645333 0.006352043124581819, 0.9986757242915579

0.4,  -0.9252580817605963,  -0.9048156927312596
 100, -0.8974620033394081, 0.027796078421188253, 0.9952938290608273
 200, -0.9085215756947316, 0.016736506065864742, 0.9958255736063327
 300, -0.908563214632623, 0.0166948671279733, 0.995927778728813
 400, -0.9021597814538418, 0.023098300306754527, 0.9959614974781288
 500, -0.9071864975924916, 0.018071584168104726, 0.9959342872596612
 600, -0.9023465923537772, 0.022911489406819086, 0.9960054526470348
 700, -0.900438918560286, 0.0248191632003103, 0.9960743040095383
 800, -0.9027658294911306, 0.022492252269465718, 0.9961731398401449
 900, -0.9071025546296395, 0.018155527130956806, 0.9961903757488245
1000, -0.9048156927312596 0.020442389029336705, 0.9962500850871182

1.85,  -0.9668194250398201,  -0.9668399481162354
 100, -0.9167392680458949, 0.05008015699392521, 0.9801673880045363
 200, -0.9509504650297792, 0.0158689600100409, 0.9933802081020231
 300, -0.9570849171351798, 0.009734507904640255, 0.9962629781594017
 400, -0.959142314112239, 0.0076771109275810545, 0.9974285096597425
 500, -0.9605396014911367, 0.006279823548683394, 0.9980518049042082
 600, -0.9624536582471108, 0.00436576679270928, 0.9984581861911372
 700, -0.9659132103873835, 0.0009062146524365655, 0.9986766750313463
 800, -0.9620003259609009, 0.004819099078919198, 0.998859039647376
 900, -0.9633815374267736, 0.003437887613046531, 0.9990402129540098
1000, -0.9668399481162354 2.0523076415313035e-05, 0.9991360032463094

2.3,  -0.9478686468761977,  -0.9474090112414678
 100, -0.9156367427051533, 0.03223190417104438, 0.9837487487713533
 200, -0.9387585506285883, 0.00911009624760939, 0.9938215797139178
 300, -0.940011502002644, 0.007857144873553601, 0.9964111781228581
 400, -0.9449250224174441, 0.002943624458753513, 0.9974192042648462
 500, -0.9472032254985056, 0.0006654213776920992, 0.9978774827803321
 600, -0.9447899380372701, 0.0030787088389275796, 0.9984384412733374
 700, -0.9457538245312465, 0.002114822344951195, 0.9986449773135286
 800, -0.9455680735090073, 0.0023005733671903617, 0.9988960649084289
 900, -0.9496337462842807, 0.001765099408083004, 0.9987190521637757
1000, -0.9474090112414678 0.00045963563472983804, 0.9990470188017633

0.95,  -1.11929731061878, -1.125982106547779
 100, -1.0521329532986659, 0.06716435732011417, 0.9758291888733466
 200, -1.0628142880581644, 0.05648302256061566, 0.9855825715823268
 300, -1.088723455032198, 0.03057385558658199, 0.9921629422843207
 400, -1.1057449625311813, 0.013552348087598753, 0.9952488637256108
 500, -1.1035227881790186, 0.015774522439761407, 0.9967131779770823
 600, -1.108006166141511, 0.011291144477268977, 0.9975550542578725
 700, -1.12727841855585, 0.007981107937069964, 0.9980707177289088
 800, -1.1095302844772612, 0.009767026141518809, 0.998415007229172
 900, -1.1175440125888216, 0.0017532980299583834, 0.9986686334741591
1000, -1.125982106547779 0.0066847959289990655, 0.9988490400890928

1.6,  -0.9922208295295207,  -0.9956699392440767
 100, -0.930308891292627, 0.06191193823689378, 0.9771713749999199
 200, -0.9716955186451943, 0.02052531088432641, 0.991860911659163
 300, -0.991119521080623, 0.0011013084488977753, 0.9952297144452675
 400, -0.9859226482815278, 0.006298181247992973, 0.9968930218315633
 500, -0.9827047534727189, 0.009516076056801825, 0.9976699621672833
 600, -0.9865097201092887, 0.005711109420232008, 0.9981686678771406
 700, -0.996507984805244, 0.00428715527572332, 0.9983553640516298
 800, -0.9931118936076341, 0.0008910640781133461, 0.9987049707857352
 900, -0.9907110542228, 0.0015097753067206954, 0.9989011161296788
